Contributors,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
1,2,"Jul  8, 2016",0,"Jul  8, 2016",17.6 KB,2,2,1,https://github.com/yogthos/log4j-edn-config,log4j-edn-config,https://clojars.org/log4j-edn-config/versions/0.1.1,https://github.com/yogthos/log4j-edn-config
49,0,"Oct  5, 2015",1,"Oct  5, 2015",4.47 MB,2,1,0,http://clojure.org,org.palletops/clojure,https://clojars.org/org.palletops/clojure/versions/1.3.0-p1,https://github.com/pallet/clojure
3,0,"Oct  5, 2015",1,"Oct  5, 2015",2.84 MB,2,1,1,https://cloudant.com/doc/javaviews/,me.panzoo/couch-clojure,https://clojars.org/me.panzoo/couch-clojure/versions/0.1.0-SNAPSHOT,https://github.com/jedahu/couch-clojure
4,0,"Oct  5, 2015",3,"Aug  9, 2016",53.7 KB,2,4,19,https://github.com/walmartlabs/logback-riemann-appender,com.walmartlabs/logback-riemann-appender,https://clojars.org/com.walmartlabs/logback-riemann-appender/versions/0.2.0,https://github.com/walmartlabs/logback-riemann-appender
5,0,"Mar 16, 2016",7,"Mar 14, 2017",103 KB,2,12,2,https://github.com/santanusinha/dropwizard-db-sharding-bundle,io.dropwizard.sharding/db-sharding-bundle,https://clojars.org/io.dropwizard.sharding/db-sharding-bundle/versions/1.0.6-SNAPSHOT,https://github.com/santanusinha/dropwizard-db-sharding-bundle
13,0,"Feb 23, 2016",2,"Oct 21, 2016",17.2 MB,2,7,7,https://github.com/lupapiste/OpenPDF,lupapiste/openpdf,https://clojars.org/lupapiste/openpdf/versions/1.0.6,https://github.com/lupapiste/OpenPDF
1,1,"Feb  7, 2018",1,"Feb  7, 2018",14.6 KB,2,2,1,https://cambium-clojure.github.io/,cambium/cambium.logback.json,https://clojars.org/cambium/cambium.logback.json/versions/0.4.1,https://github.com/cambium-clojure/cambium.logback.json
1,0,"Oct  5, 2015",0,"Oct  5, 2015",117 KB,2,5,1,https://github.com/slagyr/filecabinet,filecabinet,https://clojars.org/filecabinet/versions/1.0.4,https://github.com/slagyr/filecabinet
0,0,"Feb  7, 2018",2,"Feb  7, 2018",142 KB,2,2,5,https://datil.co,co.datil/sri-clj,https://clojars.org/co.datil/sri-clj/versions/0.1.1,https://github.com/datil/sri-clj
1,0,"Oct  5, 2015",0,"Oct  5, 2015",121 KB,2,1,1,https://github.com/candera/eliza-clj,org.craigandera/eliza-clj,https://clojars.org/org.craigandera/eliza-clj/versions/0.1.0,https://github.com/candera/eliza-clj
