Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
13,0,0,0,"May  2, 2017",54,"Jun 15, 2017",818 MB,181,3,40,https://github.com/ngageoint/mrgeo,pymrgeo,https://pypi.org/project/pymrgeo/1.0.2,https://github.com/ngageoint/mrgeo
5,0,0,0,"May 13, 2019",31,19 days ago,11.9 MB,176,20,11,https://github.com/smoothnlp/SmoothNLP,SmoothNLP,https://pypi.org/project/SmoothNLP/0.3.1,https://github.com/smoothnlp/SmoothNLP
9,0,0,0,1 day ago,60,1 day ago,1.72 MB,165,1,30,https://github.com/google/myanmar-tools,myanmartools,https://pypi.org/project/myanmartools/0.1,https://github.com/google/myanmar-tools
16,0,0,0,"Jan  6, 2016",119,"Jan  6, 2016",39.1 MB,152,1,44,https://github.com/asposewords/Aspose_Words_Java/tree/master/Plugins/Aspose_Words_Java_for_Jython,Aspose_Words_Java_for_Jython,https://github.com/asposewords/Aspose_Words_Java,https://github.com/asposewords/Aspose_Words_Java/tree/master/Plugins/Aspose_Words_Java_for_Jython
16,0,0,0,"Jul 14, 2015",119,"Jul 14, 2015",39.1 MB,152,2,44,https://github.com/asposewords/Aspose_Words_Java/tree/master/Plugins/Aspose_Words_Java_for_Python,aspose_words_java_for_python,https://github.com/asposewords/Aspose_Words_Java,https://github.com/asposewords/Aspose_Words_Java/tree/master/Plugins/Aspose_Words_Java_for_Python
23,0,0,1,"Feb 11, 2019",32,"Feb 15, 2019",14.8 MB,141,2,19,https://improbable-research.github.io/keanu/python,nd4j,https://pypi.org/project/nd4j/1.0.0b3,https://github.com/improbable-research/keanu
23,0,0,1,"Oct 22, 2018",32,"Aug  2, 2019",14.8 MB,141,17,19,https://improbable-research.github.io/keanu/python,keanu,https://pypi.org/project/keanu/0.0.26.dev1,https://github.com/improbable-research/keanu
35,0,0,0,"Jun 20, 2018",52,"Dec 12, 2019",61.1 MB,130,5,52,https://github.com/osmlab/atlas,pyatlas,https://pypi.org/project/pyatlas/5.8.9,https://github.com/osmlab/atlas
28,0,3,274,"Jan  8, 2014",108,"Jun 25, 2015",4.29 MB,116,7,61,https://github.com/GoogleCloudPlatform/appengine-gcs-client,GoogleAppEngineCloudStorageClient,https://pypi.org/project/GoogleAppEngineCloudStorageClient/1.9.22.1,https://github.com/GoogleCloudPlatform/appengine-gcs-client
18,0,0,0,"Jan  6, 2017",38,"Jan 19, 2017",48.8 MB,97,3,28,https://github.com/uwescience/myria,MyriaPythonWorker,https://pypi.org/project/MyriaPythonWorker/0.31,https://github.com/uwescience/myria
18,0,0,0,"Nov 17, 2014",38,"Aug 31, 2017",48.8 MB,97,12,28,https://github.com/uwescience/myria,myria-python,https://pypi.org/project/myria-python/1.3.3,https://github.com/uwescience/myria
36,0,0,0,"May 23, 2019",64,"Nov 20, 2019",68.3 MB,95,3,25,https://github.com/opencb/opencga/tree/develop/opencga-client/src/main/python/pyOpenCGA,pyopencga,https://github.com/opencb/opencga,https://github.com/opencb/opencga/tree/develop/opencga-client/src/main/python/pyOpenCGA
36,0,0,0,"May 11, 2018",64,"May 11, 2018",68.3 MB,95,1,25,https://github.com/opencb/opencga/tree/develop/opencga-client/src/main/python,pyCGA,https://github.com/opencb/opencga,https://github.com/opencb/opencga/tree/develop/opencga-client/src/main/python
62,0,2,2,"Aug 17, 2017",52,"May 24, 2019",40.3 MB,94,10,27,http://github.com/Workiva/frugal,frugal,https://pypi.org/project/frugal/2.14.0,https://github.com/Workiva/frugal
3,1,0,0,"Feb  6, 2020",13,about 1 month ago,7.1 MB,83,16,7,https://github.com/CleanPegasus/TensorDash,tensor-dash,https://pypi.org/project/tensor-dash/1.8.1,https://github.com/CleanPegasus/TensorDash
4,1,0,0,"Nov 20, 2019",7,"Nov 20, 2019",507 KB,81,1,8,https://github.com/WorksApplications/SudachiDict,SudachiDict-core,https://pypi.org/project/SudachiDict-core/0.0.0,https://github.com/WorksApplications/SudachiDict
4,1,0,0,"Nov 20, 2019",7,"Nov 20, 2019",507 KB,81,1,8,https://github.com/WorksApplications/SudachiDict,SudachiDict-small,https://pypi.org/project/SudachiDict-small/20191030,https://github.com/WorksApplications/SudachiDict
4,0,0,0,"Nov 20, 2019",7,"Nov 20, 2019",507 KB,81,1,8,https://github.com/WorksApplications/SudachiDict,SudachiDict-full,https://pypi.org/project/SudachiDict-full/0.0.0,https://github.com/WorksApplications/SudachiDict
18,0,0,27,"Nov  4, 2014",46,"Jan 28, 2016",2.08 MB,70,9,41,https://github.com/GoogleCloudPlatform/appengine-pipelines,GoogleAppEnginePipeline,https://pypi.org/project/GoogleAppEnginePipeline/1.9.22.1,https://github.com/GoogleCloudPlatform/appengine-pipelines
4,0,0,0,"Apr 18, 2016",38,"May 24, 2016",16.1 MB,68,4,16,https://github.com/bluesummerbreeze/robotframework-SikuliLibrary,RobotSikuliLibrary,https://pypi.org/project/RobotSikuliLibrary/1.0.4,https://github.com/bluesummerbreeze/robotframework-SikuliLibrary
4,0,0,0,"Apr 10, 2016",38,"Apr 11, 2016",16.1 MB,68,4,16,http://UNKNOWN,myrobotlibrary,https://pypi.org/project/myrobotlibrary/0.0.4,https://github.com/rainmanwy/robotframework-SikuliLibrary
4,0,0,0,"Mar 31, 2016",38,"Mar 31, 2016",16.1 MB,68,1,16,https://github.com/rainmanwy/robotframework-SikuliLibrary,SikuliRobotLibrary2,https://pypi.org/project/SikuliRobotLibrary2/0.1.1,https://github.com/rainmanwy/robotframework-SikuliLibrary
4,0,0,0,"Apr 10, 2016",38,"Apr 10, 2016",16.1 MB,68,6,16,https://github.com/rainmanwy/robotframework-SikuliLibrary,mylibrary,https://pypi.org/project/mylibrary/0.0.6,https://github.com/rainmanwy/robotframework-SikuliLibrary
4,0,0,1,"Dec 10, 2015",38,"Jun 21, 2019",16.1 MB,68,14,16,https://github.com/rainmanwy/robotframework-SikuliLibrary,robotframework-SikuliLibrary,https://pypi.org/project/robotframework-SikuliLibrary/1.0.8,https://github.com/rainmanwy/robotframework-SikuliLibrary
4,0,0,3,"Mar 30, 2016",38,"Mar 30, 2016",16.1 MB,68,1,16,https://github.com/rainmanwy/robotframework-SikuliLibrary,SikuliRobotLibrary1,https://pypi.org/project/SikuliRobotLibrary1/0.1.0,https://github.com/rainmanwy/robotframework-SikuliLibrary
1,1,0,0,13 days ago,22,13 days ago,3.08 MB,66,1,27,https://github.com/apache/flink-statefun,apache-flink-statefun,https://pypi.org/project/apache-flink-statefun/2.0.0,https://github.com/apache/flink-statefun
1,0,0,0,"Jan 13, 2019",8,"Jan 13, 2019",11.1 MB,65,1,13,https://github.com/dzavalishin/mqtt_udp,mqttudp,https://pypi.org/project/mqttudp/0.1.post1,https://github.com/dzavalishin/mqtt_udp
