Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
2,0,0,0,"Sep 30, 2016",17,"Sep 30, 2016",130 KB,12,1,5,https://github.com/apakulov/kafka-graphite,kafka-graphite-clients-jars,https://rubygems.org/gems/kafka-graphite-clients-jars/versions/0.4.1,https://github.com/apakulov/kafka-graphite
3,0,0,0,"Mar 17, 2017",4,"Feb  5, 2020",127 KB,12,6,5,https://github.com/muga/embulk-filter-calcite,embulk-filter-calcite,https://rubygems.org/gems/embulk-filter-calcite/versions/0.3.0,https://github.com/muga/embulk-filter-calcite
1,0,1,0,"Jan 19, 2013",3,"Apr 30, 2013",27.8 MB,11,5,4,http://github.com/mkolisnyk/Sirius,sirius-client-core,https://rubygems.org/gems/sirius-client-core/versions/2013.4.30.0,https://github.com/mkolisnyk/Sirius
1,0,0,23,"Sep  9, 2013",4,"Jan 19, 2014",7.08 MB,11,4,8,http://documentcloud.github.io/pdftailor,pdftailor,https://rubygems.org/gems/pdftailor/versions/0.0.5,https://github.com/documentcloud/pdftailor
2,0,1,0,"Aug  2, 2012",2,"Dec  9, 2013",132 KB,11,6,6,https://github.com/mailru/sumbur-ruby,sumbur,https://rubygems.org/gems/sumbur/versions/0.1.2.2,https://github.com/mailru/sumbur-ruby
1,3,0,0,"Jan  6, 2013",3,"Apr 30, 2013",27.8 MB,11,7,4,http://github.com/mkolisnyk/Sirius,sirius-client,https://rubygems.org/gems/sirius-client/versions/2013.4.30.0,https://github.com/mkolisnyk/Sirius
1,0,1,0,"Jan 19, 2013",3,"Apr 30, 2013",27.8 MB,11,5,4,http://github.com/mkolisnyk/Sirius,sirius-client-win32,https://rubygems.org/gems/sirius-client-win32/versions/2013.4.30.0,https://github.com/mkolisnyk/Sirius
1,0,1,0,"Apr  1, 2013",3,"Apr 30, 2013",27.8 MB,11,2,4,http://github.com/mkolisnyk/Sirius,sirius-client-web,https://rubygems.org/gems/sirius-client-web/versions/2013.4.30.0,https://github.com/mkolisnyk/Sirius
6,0,0,0,"Mar  1, 2015",4,"Jan 13, 2020",281 KB,10,26,10,https://github.com/embulk/embulk-input-gcs,embulk-input-gcs,https://rubygems.org/gems/embulk-input-gcs/versions/0.3.2,https://github.com/embulk/embulk-input-gcs
3,1,0,60,"Feb 20, 2012",5,"Mar 17, 2014",599 KB,10,15,3,http://github.com/tobsch/jgeoip,jgeoip,https://rubygems.org/gems/jgeoip/versions/0.2.5,https://github.com/tobsch/jgeoip
4,0,0,0,"Sep  6, 2015",6,"Dec 14, 2018",189 KB,10,13,4,https://github.com/hakobera/embulk-input-mongodb,embulk-input-mongodb,https://rubygems.org/gems/embulk-input-mongodb/versions/0.7.0,https://github.com/hakobera/embulk-input-mongodb
